age,global,global_sigma,nh,nh_sigma,sh,sh_sigma,deltaT,deltaT_sigma,deltaT_atl,deltaT_atl_sigma
8.4,0.151106739,0.102177047,0.229271873,0.132373558,0.027846637,0.167489725,0.201425236,0.216870936,0.152828423,0.319314981
8.5,0.160625406,0.106918396,0.231102726,0.136809317,0.049488366,0.164477088,0.181614359,0.210477528,0.174031463,0.29979918
8.6,0.156242727,0.102447579,0.223458927,0.134362808,0.05024821,0.161496512,0.173210716,0.212002811,0.196271383,0.304602739
8.7,0.156992902,0.106413243,0.215647977,0.1375292,0.064498588,0.162844165,0.151149388,0.210689535,0.169369852,0.296286649
8.8,0.155438216,0.103689809,0.210637055,0.133238464,0.068394107,0.160143865,0.142242948,0.205865414,0.148302517,0.303171904
8.9,0.169144277,0.101459302,0.229298657,0.132210954,0.07428568,0.158113424,0.155012976,0.206273233,0.193127924,0.301127294
9,0.147558143,0.103512699,0.194891145,0.132044954,0.072917821,0.158967158,0.121973324,0.202745116,0.125775348,0.297004716
9.1,0.14918589,0.102463884,0.206873502,0.131371121,0.058217186,0.155151707,0.148656316,0.198995906,0.181861885,0.296644544
9.2,0.136735969,0.101722482,0.190403002,0.131052529,0.052107396,0.155502659,0.138295606,0.200498319,0.183211235,0.307204862
9.3,0.139778101,0.103483725,0.19842804,0.134359476,0.047291886,0.160000545,0.151136154,0.207986554,0.246646443,0.299266608
9.4,0.137734238,0.105103326,0.191843607,0.137376176,0.052408135,0.158477795,0.139435471,0.207739516,0.271785761,0.312313901
9.5,0.124966444,0.105201692,0.1651054,0.135446606,0.061670552,0.158136441,0.103434848,0.203802379,0.225634739,0.315252871
9.6,0.112671027,0.107872447,0.127676635,0.13555063,0.089008395,0.162279758,0.038668239,0.203423543,0.179147207,0.312014994
9.7,0.099456359,0.108525737,0.092776338,0.139150707,0.109990211,0.160279335,-0.017213873,0.205620544,0.185347935,0.311184959
9.8,0.077549348,0.105355869,0.049858007,0.137176304,0.121216355,0.164155822,-0.071358348,0.213972221,0.18462415,0.323020631
9.9,0.060626469,0.105922974,0.01566378,0.138834909,0.131528998,0.167224366,-0.115865218,0.219364856,0.168612734,0.311920453
10,0.018168625,0.108466748,-0.052255772,0.139771093,0.12922221,0.16683819,-0.181477981,0.215141138,0.078603206,0.301522393
10.1,-0.018271785,0.105007491,-0.101897999,0.14026691,0.113599998,0.162942214,-0.215497997,0.218297143,0.011340571,0.313252564
10.2,-0.064228701,0.101922712,-0.165137019,0.137526865,0.094895564,0.163261622,-0.260032583,0.220341798,-0.063804975,0.314844638
10.3,-0.101793281,0.105539436,-0.222912091,0.14181547,0.089201297,0.161534099,-0.312113388,0.218084885,-0.10645138,0.308250596
10.4,-0.10046357,0.105368797,-0.234628643,0.13705342,0.11110391,0.174177013,-0.345732553,0.226332446,-0.173359426,0.305514485
10.5,-0.098936496,0.112107089,-0.249616513,0.142266151,0.138673717,0.176476746,-0.38829023,0.223886678,-0.206727172,0.298484849
10.6,-0.125344884,0.106451282,-0.284935286,0.137374846,0.126316287,0.170981936,-0.411251574,0.220648961,-0.187632297,0.295497687
10.7,-0.17378942,0.107660941,-0.34477313,0.137472089,0.095838076,0.174810734,-0.440611206,0.223221241,-0.164695519,0.293490771
10.8,-0.242485167,0.109614484,-0.436135196,0.141161117,0.062885285,0.175143813,-0.49902048,0.22556499,-0.219498158,0.306548234
10.9,-0.321381882,0.110511131,-0.535086294,0.145642267,0.015612713,0.172092397,-0.550699007,0.227219727,-0.300615153,0.307247303
11,-0.392937593,0.114932354,-0.619818736,0.147513752,-0.03516436,0.169929929,-0.584654377,0.218258195,-0.362899104,0.3091714
11.1,-0.475201428,0.109697022,-0.72178971,0.148432658,-0.08635163,0.163830168,-0.63543808,0.223523574,-0.466058714,0.327803696
11.2,-0.538504137,0.115470627,-0.792390095,0.156305907,-0.138146492,0.163162975,-0.654243604,0.224308978,-0.541259054,0.34628123
11.3,-0.622614862,0.116978492,-0.901704543,0.161519378,-0.182512981,0.163293883,-0.719191562,0.230604105,-0.695121872,0.354568815
11.4,-0.698471993,0.118961305,-0.989065508,0.16201987,-0.240229496,0.170452645,-0.748836012,0.235647651,-0.863383289,0.364289336
11.5,-0.780432452,0.123294024,-1.088822263,0.167752051,-0.294126635,0.178979344,-0.794695629,0.246677738,-0.92502784,0.396552718
11.6,-0.873987771,0.12708958,-1.211839711,0.174008878,-0.341222555,0.178745851,-0.870617157,0.249442921,-1.193142872,0.428697127
11.7,-1.053550943,0.131537668,-1.459257164,0.180099075,-0.413785009,0.18550651,-1.045472154,0.258764283,-1.613408571,0.428081703
11.8,-1.160279887,0.132141984,-1.603199572,0.17635404,-0.461831327,0.185959908,-1.141368245,0.25124323,-1.894241257,0.398602972
11.9,-1.251846382,0.131633269,-1.713785233,0.173258408,-0.523406135,0.184397633,-1.190379098,0.244854617,-2.099208684,0.38868284
12,-1.300673599,0.124561695,-1.752731887,0.167885049,-0.587814199,0.175298745,-1.164917688,0.239814439,-2.1644818,0.391135497
12.1,-1.388664067,0.120535651,-1.857805957,0.166378802,-0.648865208,0.173033823,-1.208940749,0.243063037,-2.228631598,0.38780998
12.2,-1.418722099,0.120787942,-1.873482041,0.165876055,-0.70160241,0.171965029,-1.171879631,0.240396008,-2.264125303,0.390565041
12.3,-1.479784457,0.119240712,-1.941197078,0.161553018,-0.75217403,0.176100941,-1.189023048,0.240954388,-2.336025414,0.378614114
12.4,-1.557898144,0.122731605,-2.026427326,0.168875608,-0.819065475,0.174950503,-1.207361852,0.245106214,-2.340594176,0.380527839
12.5,-1.645641245,0.125256646,-2.119497257,0.165426031,-0.898408597,0.179034709,-1.22108866,0.238392605,-2.354621298,0.379776058
12.6,-1.696936007,0.125952626,-2.159508696,0.170129352,-0.967496247,0.180991344,-1.192012449,0.24761442,-2.353783243,0.380516641
12.7,-1.699577941,0.128236295,-2.123832363,0.174962251,-1.030562991,0.181976884,-1.093269372,0.252489171,-2.24313268,0.388172374
12.8,-1.684857093,0.130499288,-2.061540293,0.17777819,-1.090858118,0.177005299,-0.970682175,0.246836568,-1.973265176,0.401382782
12.9,-1.627355411,0.127399084,-1.945734174,0.176106565,-1.125297821,0.178589366,-0.820436353,0.252371317,-1.707960362,0.41534945
13,-1.60460512,0.125447329,-1.90823746,0.178629134,-1.125801451,0.179723299,-0.782436009,0.262181848,-1.604239545,0.419786006
13.1,-1.582776951,0.126041569,-1.86855778,0.173287567,-1.132123671,0.18591415,-0.73643411,0.258775983,-1.518814055,0.413643101
13.2,-1.53284054,0.128238742,-1.767222313,0.171298639,-1.16323942,0.182921793,-0.603982893,0.247067997,-1.324954958,0.405128986
13.3,-1.476957648,0.124040163,-1.657108707,0.166444842,-1.192873982,0.179208395,-0.464234725,0.24306599,-1.113558328,0.380845086
13.4,-1.429748574,0.119265028,-1.585582002,0.158005724,-1.184011847,0.176684611,-0.401570155,0.23547817,-0.999254747,0.36500654
13.5,-1.428499162,0.117032466,-1.592663521,0.153793185,-1.16962523,0.174706436,-0.423038291,0.230544793,-1.021025042,0.374278735
13.6,-1.455268577,0.118537104,-1.622167202,0.153987576,-1.19208293,0.175494338,-0.430084272,0.228611851,-0.986329804,0.372845253
13.7,-1.466771276,0.116237563,-1.618586655,0.151962998,-1.227370688,0.171718066,-0.391215967,0.225384079,-0.895883073,0.361991414
13.8,-1.503937673,0.119674527,-1.648558107,0.160801165,-1.275882931,0.177411296,-0.372675176,0.240322683,-0.816910794,0.371481605
13.9,-1.560360784,0.122194822,-1.701846209,0.161930897,-1.3372497,0.177601489,-0.36459651,0.237145286,-0.836880554,0.371322572
14,-1.596349904,0.125230242,-1.743012239,0.167761808,-1.365075249,0.179414274,-0.37793699,0.243077586,-0.915207151,0.382379916
14.1,-1.615728997,0.129686505,-1.759398324,0.176543702,-1.389174076,0.179907225,-0.370224247,0.249768307,-0.91447868,0.391174808
14.2,-1.637869284,0.131333765,-1.786029486,0.181684662,-1.404232613,0.181296684,-0.381796873,0.257175965,-0.960987299,0.416296959
14.3,-1.688633249,0.142270262,-1.864978018,0.197855386,-1.410551794,0.180376007,-0.454426225,0.262317297,-1.123494939,0.433524381
14.4,-1.761077778,0.14840568,-1.979727973,0.20941475,-1.416284084,0.178179508,-0.563443888,0.268597929,-1.287057684,0.455914225
14.5,-1.853121567,0.150816905,-2.121073186,0.215566874,-1.430583511,0.177663503,-0.690489675,0.274852674,-1.475973848,0.488913491
14.6,-1.983212085,0.151860061,-2.314004225,0.226964523,-1.461579605,0.180900409,-0.85242462,0.298510565,-1.749794504,0.52489759
14.7,-2.11479514,0.155793722,-2.501506816,0.227044536,-1.504982069,0.181258425,-0.996524747,0.29037526,-2.022599595,0.501975644
14.8,-2.224023237,0.150571905,-2.655200165,0.208180207,-1.544092055,0.187517507,-1.11110811,0.27142117,-2.20826548,0.462473263
14.9,-2.306822502,0.142337555,-2.767595084,0.193338314,-1.580221365,0.184396738,-1.187373719,0.25801724,-2.329239251,0.442985317
15,-2.377755117,0.135054625,-2.861446218,0.182587877,-1.615013326,0.18273076,-1.246432892,0.252322091,-2.400820817,0.426895321
15.1,-2.421205544,0.128952202,-2.908205915,0.171627319,-1.653245304,0.184789916,-1.25496061,0.248360387,-2.400881021,0.418081242
15.2,-2.456389569,0.128190572,-2.939899421,0.172206294,-1.693933593,0.182671076,-1.245965829,0.248491987,-2.355726511,0.406449843
15.3,-2.489853544,0.124921445,-2.961482678,0.169090725,-1.746132501,0.177696962,-1.215350177,0.244056101,-2.287449495,0.379470574
15.4,-2.52334401,0.125184304,-2.994044915,0.165756063,-1.781086711,0.183580329,-1.212958204,0.244709152,-2.292452072,0.379050713
15.5,-2.559375392,0.120950622,-3.034668793,0.161452018,-1.809876095,0.19060298,-1.224792698,0.254824968,-2.336410827,0.40032396
